,Name from DF1,Name from DF2,Similarity Score,DF1,DF2
0,Aleksandar Rakic,Aleksandar Rakir,94,True,False
1,Alexander Romanov,Alexandr Romanov,97,False,True
2,Antonio Rodrigo Nogueira,Antonio Rogerio Nogueira,92,True,False
3,Billy Quarantillo,Billy Quartantillo,97,True,False
4,Brendan Marotte,Brendon Marotte,93,False,True
5,Calvin Cattar,Calvin Kattar,92,False,True
6,Chris Caraiso,Chris Cariaso,92,False,True
7,Christian Quinonez,Cristian Quinonez,97,False,True
8,Claudio Ribeiro,Claudio Ribiero,93,True,False
9,Curt Warburton,Kurt Warburton,93,True,False
10,Da'mon Blackshear,Damon Blackshear,97,True,False
11,Da'mon Blackshear,Darmon Blackshear,94,True,False
12,Damon Blackshear,Darmon Blackshear,97,False,False
13,Denis Tiuliulin,Dennis Tiuliulin,97,True,False
14,Dennis Buzukia,Dennis Buzukja,93,False,True
15,Elves Brener,Elves Brenner,96,True,False
16,Erick Silva,Erik Silva,95,True,True
17,Francisco Drinaldo,Francisco Trinaldo,94,False,True
18,Francisco Figueiredo,Francisco Figueredo,97,True,False
19,Heather Clark,Heather Jo Clark,90,True,False
20,Ion Curelaba,Ion Cutelaba,92,False,True
21,Iuri Alcantara,Yuri Alcantara,93,True,False
22,Jacqueline Amorim,Jaqueline Amorim,97,False,True
23,Jailtom Almeida,Jailton Almeida,93,False,True
24,Jake Ellenberger,Joe Ellenberger,90,True,True
25,Jan Blachowicz,Jan Brachowicz,93,True,False
26,Jim Crute,Jimmy Crute,90,False,True
27,Joe Gigliotti,Joseph Gigliotti,90,False,True
28,Johny Hendricks,Josh Hendricks,90,True,True
29,Jorge Oliveira,Jorge de Oliveira,90,False,True
30,Joseph Duffey,Joseph Duffy,96,False,False
31,Josh Culibao,Joshua Culibao,92,True,False
32,Josh Sampo,Joshua Sampo,91,True,False
33,Julia Stoliarenko,Julija Stoliarenko,97,False,True
34,Kyogi Horiguchi,Kyoji Horiguchi,93,False,True
35,Lando Vannata,Landon Vannata,96,True,False
36,Ludovit Klein,Rudovit Klein,92,True,False
37,Luis Henrique,Luiz Henrique,92,True,False
38,Lukasz Brzeski,Rukasz Brzeski,93,True,False
39,Mark Madsen,Mark O Madsen,92,True,False
40,Mateusz Rebecki,Mateusz Rrbecki,93,True,False
41,Michal Oleksiejczuk,Michar Oleksiejczuk,95,True,False
42,Miles Jury,Myles Jury,90,False,True
43,Muhammad Naimov,Muhammadjon Naimov,91,True,False
44,Natan Levy,Nathan Levy,95,True,False
45,Ode Osbourne,Ode' Osbourne,96,True,False
46,Ode Osbourne,Oder Osbourne,96,True,False
47,Ode' Osbourne,Oder Osbourne,92,False,False
48,Phil Rowe,Philip Rowe,90,True,False
49,Phil de Fries,Philip de Fries,93,False,True
50,Philip Rowe,Phillip Rowe,96,False,False
51,Razak Al Hassan,Razak Al Hussan,93,True,False
52,Rick Glenn,Ricky Glenn,95,False,True
53,Saidyokub Kakharamonov,Saidyokub Kakhramonov,98,False,True
54,Sergei Pavlovich,Sergey Pavlovich,94,True,False
55,Tafon Nchukwi,Tafon Nchuwki,92,True,False
56,Taila Santos,Talia Santos,92,True,False
57,Tom Hayden,Tommy Hayden,91,False,True
58,Uriah Hall,Urijah Hall,95,True,False
59,Valmir Lazaro,Walmir Lazaro,92,True,False
60,Victoria Dudakova,Viktoriia Dudakova,91,False,True
61,Vince Cachero,Vincent Cachero,93,True,False
62,Walt Harris,Walter Harris,92,True,False
63,Yanal Ashmouz,Yanal Ashmoz,96,True,False
