,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
0,Ailin Perez,-250.0,Darya Zheleznyakova,205.0,UFC,Sep 28th 2024
1,Ailin Perez,-250.0,Joselyne Edwards,175.0,UFC,Jun 1st 2024
2,Ailin Perez,-125.0,Lucie Pudilova,-105.0,UFC,Nov 18th 2023
3,Ailin Perez,-275.0,Ashlee Evans-Smith,200.0,UFC Fight Night 225,Jul 15th 2023
4,Ailin Perez,130.0,Hailey Cowan,-160.0,UFC Fight Night 220,Feb 25th 2023
5,Ailin Perez,-250.0,Zarah Fairn Dos Santos,200.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
6,Ailin Perez,125.0,Stephanie Egger,-145.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
7,Bolaji Oki,-205.0,Chris Duncan,170.0,UFC,Sep 28th 2024
8,Bolaji Oki,-198.0,Timothy Cuamba,164.0,UFC,Feb 10th 2024
9,Brendan Allen,140.0,Nassourdine Imavov,-188.0,UFC,Sep 28th 2024
10,Brendan Allen,-278.0,Chris Curtis,225.0,UFC,Apr 6th 2024
11,Brendan Allen,-275.0,Paul Craig,200.0,UFC,Nov 18th 2023
12,Brendan Allen,-200.0,Bruno Silva,150.0,UFC Fight Night 228,Jun 24th 2023
13,Brendan Allen,-110.0,Andre Muniz,-110.0,UFC Fight Night 220,Feb 25th 2023
14,Brendan Allen,-125.0,Krzysztof Jotko,105.0,UFC Vegas 57,Oct 1st 2022
15,Brendan Allen,-190.0,Jacob Malkoun,165.0,UFC 275: Teixeira vs. Prochazka,Jun 12th 2022
16,Brendan Allen,-350.0,Sam Alvey,285.0,UFC Vegas 47,Feb 6th 2022
17,Brendan Allen,-300.0,Chris Curtis,250.0,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
18,Brendan Allen,-350.0,Roman Dolidze,260.0,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
19,Brendan Allen,185.0,Puna Soriano,-220.0,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 24th 2021
20,Brendan Allen,105.0,Sean Strickland,-125.0,UFC Fight Night 182: Felder vs. dos Anjos,Nov 14th 2020
21,Brendan Allen,-110.0,Ian Heinisch,-110.0,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 7th 2020
22,Brendan Allen,-250.0,Kyle Daukaus,210.0,UFC on ESPN 12: Poirier vs. Hooker,Jun 27th 2020
23,Brendan Allen,-140.0,Tom Breese,110.0,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Feb 29th 2020
24,Brendan Allen,170.0,Kevin Holland,-230.0,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
25,Brendan Allen,-205.0,Karl Roberson,175.0,UFC 261: Usman vs. Masvidal 2,Apr 24th 2021
26,Bryan Battle,-150.0,Kevin Jousset,110.0,UFC,Sep 28th 2024
27,Bryan Battle,-170.0,Ange Loosa,142.0,UFC,Mar 17th 2024
28,Bryan Battle,-200.0,Aj Fletcher,150.0,UFC on ESPN 53,Sep 23rd 2023
29,Bryan Battle,-125.0,Gabe Green,105.0,UFC Fight Night: Smith vs Walker,May 13th 2023
30,Bryan Battle,130.0,Rinat Fakhretdinov,-150.0,UFC Fight Night 217,Dec 17th 2022
31,Bryan Battle,-200.0,Takashi Sato,170.0,UFC on ESPN: Santos vs. Hill,Aug 6th 2022
32,Bryan Battle,115.0,Tresean Gore,-135.0,UFC Vegas 47,Feb 6th 2022
33,Bryan Battle,-129.0,Gilbert Urbina,-101.0,UFC on ESPN: Barboza vs. Chikadze,Aug 28th 2021
35,Chris Duncan,160.0,Manuel Torres,-192.0,UFC,Feb 25th 2024
36,Chris Duncan,100.0,Yanal Ashmouz,-133.0,UFC 292,Jul 22nd 2023
37,Chris Duncan,105.0,Omar Morales,-125.0,UFC 286,Mar 18th 2023
38,Chris Duncan,,Yanal Ashmouz,,UFC Fight Night 227,Jun 17th 2023
39,Da Woon Jung,275.0,Oumar Sy,-400.0,UFC,Sep 28th 2024
40,Daniel Barez,-138.0,Victor Altamirano,105.0,UFC,Sep 28th 2024
41,Daniel Barez,100.0,Jafel Filho,-128.0,UFC 292,Jul 22nd 2023
42,Fares Ziam,105.0,Matt Frevola,-138.0,UFC,Sep 28th 2024
43,Fares Ziam,-130.0,Claudio Puelles,110.0,UFC,Feb 25th 2024
44,Fares Ziam,-105.0,Jai Herbert,-125.0,UFC 292,Jul 22nd 2023
45,Fares Ziam,-110.0,Michal Figlak,-110.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
46,Fares Ziam,-110.0,Terrance McKinney,-110.0,UFC Fight Night 203,Feb 26th 2022
47,Fares Ziam,155.0,Terrance McKinney,-180.0,UFC Fight Night: Vieira vs. Tate,Nov 20th 2021
48,Fares Ziam,100.0,Luigi Vendramini,-120.0,UFC 263: Adesanya vs. Vettori 2,Jun 12th 2021
49,Fares Ziam,-235.0,Jamie Mullarkey,200.0,UFC on ESPN+ 38: Ortega vs. The Korean Zombie,Oct 17th 2020
50,Fares Ziam,250.0,Don Madge,-350.0,UFC 242: Khabib vs. Poirier,Sep 7th 2019
51,Gabriel Miranda,350.0,Morgan Charriere,-549.0,UFC,Sep 28th 2024
52,Gabriel Miranda,128.0,Shane Young,-155.0,UFC 293,Sep 9th 2023
53,Gabriel Miranda,150.0,Benoit Saint-Denis,-188.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
54,Ion Cutelaba,-110.0,Ivan Erslan,-110.0,UFC,Sep 28th 2024
55,Ion Cutelaba,-130.0,Philipe Lins,110.0,UFC 299,Mar 10th 2024
56,Ion Cutelaba,-150.0,Philipe Lins,110.0,UFC Fight Night,Oct 7th 2023
57,Ion Cutelaba,-180.0,Johnny Walker,155.0,UFC 279,Sep 10th 2022
58,Ion Cutelaba,260.0,Magomed Ankalaev,-310.0,UFC 254: Khabib vs. Gaethje,Oct 24th 2020
59,Ion Cutelaba,100.0,Khalil Rountree,-140.0,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019
60,Ion Cutelaba,-135.0,Glover Teixeira,-105.0,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
61,Ion Cutelaba,105.0,Gadzhimurad Antigulov,-145.0,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 28th 2018
62,Ion Cutelaba,-210.0,Henrique da Silva,160.0,UFC Fight Night 110: Lewis vs. Hunt,Jun 10th 2017
63,Ion Cutelaba,-190.0,Jared Cannonier,150.0,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
64,Ion Cutelaba,-130.0,Jonathan Wilson,-110.0,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016
65,Ion Cutelaba,200.0,Misha Cirkunov,-280.0,UFC Fight Night 89: MacDonald vs. Thompson,Jun 18th 2016
66,Ion Cutelaba,-140.0,Dustin Jacoby,120.0,UFC on ESPN 23: Reyes vs. Prochazka,May 1st 2021
67,Ion Cutelaba,300.0,Magomed Ankalaev,-400.0,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Feb 29th 2020
69,Jacqueline Cavalcanti,-225.0,Nora Cornolle,163.0,UFC,Sep 28th 2024
70,Jacqueline Cavalcanti,145.0,Josiane Nunes,-175.0,UFC,Aug 25th 2024
71,Jacqueline Cavalcanti,-350.0,Zarah Fairn,240.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
72,Joanderson Brito,-275.0,William Gomis,200.0,UFC,Sep 28th 2024
73,Joanderson Brito,100.0,Jack Shore,-120.0,UFC,May 5th 2024
74,Joanderson Brito,120.0,Jonathan Pearce,-163.0,UFC,Nov 18th 2023
75,Joanderson Brito,-800.0,Westin Wilson,500.0,UFC Fight Night: Strickland vs. Magomedov,Jul 1st 2023
76,Joanderson Brito,-270.0,Lucas Alexander.,230.0,UFC Fight Night 212,Oct 15th 2022
77,Joanderson Brito,215.0,Andre Fili,-255.0,UFC Fight Night: Font vs. Vera,Apr 30th 2022
78,Joanderson Brito,-110.0,Bill Algeo,-110.0,UFC Fight Night 201,Jan 15th 2022
80,Kevin Jousset,-210.0,Jared Gooden,170.0,UFC,May 11th 2024
81,Kevin Jousset,-170.0,Kenan Song,142.0,UFC,Dec 10th 2023
82,Ludovit Klein,-649.0,Roosevelt Roberts,400.0,UFC,Sep 28th 2024
83,Ludovit Klein,-120.0,Thiago Moises,-110.0,UFC Fight Night,Jun 8th 2024
84,Ludovit Klein,145.0,Joel Alvarez,-175.0,UFC,Mar 2nd 2024
85,Ludovit Klein,-835.0,Aj Cunningham,575.0,UFC,Mar 2nd 2024
86,Ludovit Klein,-300.0,Jim Miller,250.0,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
87,Ludovit Klein,275.0,Mason Jones,-325.0,UFC Fight Night: Blaydes vs. Aspinall,Jul 23rd 2022
88,Ludovit Klein,-220.0,Nate Landwehr,185.0,UFC Fight Night: Ladd vs. Dumont,Oct 16th 2021
89,Ludovit Klein,125.0,Shane Young,-165.0,UFC 253: Adesanya vs. Costa,Sep 26th 2020
91,Matt Frevola,140.0,Benoit Saint-Denis,-188.0,UFC,Nov 12th 2023
92,Matt Frevola,285.0,Drew Dober,-350.0,UFC Fight Night 225,May 6th 2023
93,Matt Frevola,105.0,Ottman Azaitar,-125.0,UFC 281,Nov 12th 2022
94,Matt Frevola,110.0,Genaro Valdez,-130.0,UFC 270,Jan 22nd 2022
95,Matt Frevola,-430.0,Terrance McKinney,320.0,UFC 263: Adesanya vs. Vettori 2,Jun 12th 2021
96,Matt Frevola,475.0,Arman Tsarukyan,-650.0,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
97,Matt Frevola,125.0,Luis Pena,-165.0,UFC on ESPN+ 19: Joanna vs. Waterson,Oct 12th 2019
98,Matt Frevola,125.0,Jalin Turner,-165.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
99,Matt Frevola,205.0,Lando Vannata,-285.0,UFC 230: Cormier vs. Lewis,Nov 3rd 2018
100,Matt Frevola,-230.0,Marco Polo Reyes,170.0,UFC Fight Night 124: Stephens vs. Choi,Jan 14th 2018
102,Morgan Charriere,-110.0,Chepe Mariscal,-120.0,UFC,Apr 6th 2024
103,Morgan Charriere,-275.0,Manolo Zecchini,200.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
105,Nassourdine Imavov,-125.0,Jared Cannonier,100.0,UFC,Jun 9th 2024
106,Nassourdine Imavov,-150.0,Roman Dolidze,125.0,UFC Fight Night,Feb 4th 2024
107,Nassourdine Imavov,100.0,Ikram Aliskerov,-125.0,UFC 294,Oct 21st 2023
108,Nassourdine Imavov,109.0,Chris Curtis,-129.0,UFC 289,Jun 10th 2023
109,Nassourdine Imavov,-170.0,Sean Strickland,145.0,UFC Fight Night 218,Jan 14th 2023
110,Nassourdine Imavov,-190.0,Kelvin Gastelum,160.0,UFC Fight Night 218,Jan 14th 2023
111,Nassourdine Imavov,-180.0,Joaquin Buckley,155.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
112,Nassourdine Imavov,130.0,Edmen Shahbazyan,-150.0,UFC 268: Usman vs. Covington 2,Nov 6th 2021
113,Nassourdine Imavov,-105.0,Ian Heinisch,-115.0,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 24th 2021
114,Nassourdine Imavov,-105.0,Phil Hawes,-115.0,UFC Fight Night 185: Blaydes vs. Lewis,Feb 20th 2021
116,Nora Cornolle,205.0,Melissa Dixon,-265.0,UFC,Apr 6th 2024
117,Nora Cornolle,205.0,Melissa Mullins,-250.0,UFC,Apr 6th 2024
118,Nora Cornolle,-105.0,Joselyne Edwards,-125.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
119,Oumar Sy,-420.0,Da Un Jung,310.0,UFC,Sep 28th 2024
121,Oumar Sy,-500.0,Tuco Tokkos,360.0,UFC,May 18th 2024
122,Oumar Sy,-275.0,Antonio Trocoli,220.0,UFC,May 18th 2024
123,Renato Moicano,200.0,Benoit Saint-Denis,-250.0,UFC,Sep 28th 2024
124,Renato Moicano,110.0,Jalin Turner,-130.0,UFC,Apr 13th 2024
125,Renato Moicano,-120.0,Drew Dober,-110.0,UFC Fight Night,Feb 4th 2024
126,Renato Moicano,-110.0,Brad Riddell,-110.0,UFC 281,Nov 12th 2022
127,Renato Moicano,170.0,Rafael Dos Anjos,-200.0,UFC Fight Night 204,Mar 5th 2022
128,Renato Moicano,-180.0,Alex Hernandez,155.0,UFC 271,Feb 12th 2022
129,Renato Moicano,-190.0,Jai Herbert,165.0,UFC Fight Night 190: Gane vs. Volkov,Jun 26th 2021
130,Renato Moicano,-105.0,Rafael Fiziev,-115.0,UFC 256: Figueiredo vs. Moreno,Dec 12th 2020
131,Renato Moicano,-120.0,Chan Sung Jung,-120.0,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
132,Renato Moicano,-120.0,Jose Aldo,-120.0,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
133,Renato Moicano,-165.0,Cub Swanson,125.0,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
134,Renato Moicano,140.0,Calvin Kattar,-180.0,UFC 223: Nurmagomedov vs. Iaquinta,Apr 7th 2018
135,Renato Moicano,-180.0,Brian Ortega,140.0,UFC 214: Cormier vs. Jones 2,Jul 29th 2017
136,Renato Moicano,125.0,Jeremy Stephens,-165.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
137,Renato Moicano,155.0,Zubaira Tukhugov,-195.0,UFC 198: Werdum vs. Miocic,May 14th 2016
139,Roosevelt Roberts,440.0,Mateusz Rebecki,-700.0,UFC,Nov 12th 2023
140,Roosevelt Roberts,140.0,Ignacio Bahamondes,-160.0,UFC on ESPN: Cannonier vs. Gastelum,Aug 21st 2021
141,Roosevelt Roberts,-375.0,Kevin Croom,285.0,UFC on ESPN+ 35: Waterson vs. Hill,Sep 12th 2020
142,Roosevelt Roberts,-175.0,Jim Miller,150.0,UFC on ESPN 11: Blaydes vs. Volkov,Jun 20th 2020
143,Roosevelt Roberts,-165.0,Alexander Yakovlev,125.0,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 9th 2019
144,Roosevelt Roberts,-215.0,Vinc Pichel,165.0,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
145,Roosevelt Roberts,-245.0,Thomas Gifford,175.0,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
146,Roosevelt Roberts,-185.0,Darrell Horcher,145.0,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018
147,Roosevelt Roberts,-290.0,Brok Weaver,210.0,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
148,Taylor Lapilus,-345.0,Vince Morales,265.0,UFC,Sep 28th 2024
149,Taylor Lapilus,-200.0,Cody Stamann,150.0,UFC Fight Night,Jun 8th 2024
150,Taylor Lapilus,164.0,Farid Basharat,-198.0,UFC,Jan 13th 2024
151,Taylor Lapilus,-200.0,Muin Gafurov,160.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
152,Taylor Lapilus,-159.0,Caolan Loughran,128.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
153,Taylor Lapilus,-350.0,Khalid Taha,270.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
154,Taylor Lapilus,-170.0,Leandro Issa,130.0,UFC Fight Night 93: Arlovski vs. Barnett,Sep 3rd 2016
155,Taylor Lapilus,140.0,Erik Perez,-180.0,UFC Fight Night 78: Magny vs. Gastelum,Nov 21st 2015
156,Taylor Lapilus,190.0,Yuta Sasaki,-270.0,UFC Fight Night 69: Jedrzejczyk vs. Penne,Jun 20th 2015
158,Victor Altamirano,124.0,Felipe Dos Santos,-148.0,UFC,Feb 25th 2024
159,Victor Altamirano,170.0,Timothy Elliott,-200.0,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
160,Victor Altamirano,-115.0,Vinicius Salvador,-105.0,UFC Fight Night 222,Mar 25th 2023
161,Victor Altamirano,-225.0,Daniel da Silva,163.0,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
162,Victor Altamirano,-150.0,Carlos Hernandez,130.0,UFC Fight Night 203,Feb 26th 2022
163,Victor Altamirano,,Daniel Lacerda,,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
165,Vince Morales,140.0,Miles Johns,-160.0,UFC Fight Night 215,Nov 19th 2022
166,Vince Morales,130.0,Jonathan Martinez,-150.0,UFC Fight Night 2010,May 21st 2022
167,Vince Morales,160.0,Louis Smolka,-185.0,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
168,Vince Morales,-180.0,Drako Rodriguez,155.0,UFC 265: Lewis vs. Gane,Aug 7th 2021
169,Vince Morales,185.0,Benito Lopez,-265.0,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
170,Vince Morales,165.0,Aiemann Zahabi,-215.0,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 4th 2019
171,Vince Morales,255.0,Yadong Song,-365.0,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018
172,Vince Morales,110.0,Chris Gutierrez,-150.0,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
174,William Gomis,-275.0,Yanis Ghemmouri,215.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
175,William Gomis,-165.0,Lucas Almeida,135.0,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
176,William Gomis,330.0,Francis Marshall,-400.0,UFC Fight Night 223,Apr 22nd 2023
